fecha,producto,region,canal,unidades_vendidas,precio_unitario,ingreso
2025-10-03,Teclado,Norte,Tienda,3.0,43.95,131.85
2024-12-05,Monitor,Centro,Distribuidor,3.0,182.45,547.35
2025-02-07,Mouse,Este,Tienda,5.0,24.48,122.4
2024-07-09,Monitor,Centro,Tienda,2.0,219.98,439.96
2024-03-27,Mouse,Este,Online,4.0,25.64,102.56
2025-07-16,Auriculares,Centro,Tienda,1.0,91.96,91.96
,Teclado,Oeste,Online,3.0,46.3,138.9
2025-10-14,Mouse,Norte,Tienda,4.0,25.74,102.96
2024-10-25,Teclado,Oeste,Online,3.0,46.78,140.34
2024-07-28,Mouse,Norte,Distribuidor,4.0,21.22,84.88
2025-03-09,Webcam,Oeste,Online,3.0,68.19,204.57
2025-01-30,Teclado,Norte,Online,,,218.3
2024-04-09,Monitor,Norte,Tienda,2.0,221.61,443.22
2024-04-16,Teclado,Sur,Online,3.0,45.39,136.17
2024-07-17,Webcam,Norte,Tienda,2.0,58.82,117.64
2025-12-21,Teclado,Oeste,Tienda,3.0,45.88,137.64
2024-04-12,Mouse,Centro,Online,4.0,26.03,104.12
2024-10-30,Mouse,Norte,Online,4.0,24.87,99.48
2025-01-09,Webcam,Centro,Tienda,2.0,61.89,123.78
2024-06-22,Auriculares,Norte,Tienda,2.0,89.68,179.36
2025-10-08,Monitor,Este,Online,3.0,195.45,586.35
2025-12-15,Teclado,Este,Tienda,5.0,43.72,218.6
2024-10-01,Monitor,Sur,Tienda,3.0,204.78,614.34
,Mouse,Centro,Distribuidor,1.0,21.02,21.02
2025-09-19,Monitor,Norte,Distribuidor,5.0,184.44,922.2
2024-08-07,Webcam,Norte,Tienda,1.0,66.56,66.56
2024-05-31,Monitor,Oeste,Online,1.0,217.8,217.8
2025-06-15,Mouse,Sur,Distribuidor,4.0,21.35,85.4
2025-04-23,Mouse,Centro,Tienda,1.0,26.25,26.25
2024-07-04,Auriculares,Centro,Tienda,2.0,89.82,179.64
2024-09-01,Teclado,Este,Online,5.0,45.55,227.75
2025-04-04,Webcam,Norte,Online,5.0,68.02,340.1
2025-11-04,Auriculares,Centro,Distribuidor,4.0,76.3,305.2
2025-09-24,Webcam,Oeste,Online,5.0,62.45,312.25
2025-04-15,Auriculares,Sur,Online,4.0,88.7,354.8
2025-11-20,Monitor,Norte,Online,3.0,223.23,669.69
2025-04-06,Mouse,Centro,Online,4.0,24.79,99.16
2024-07-06,Webcam,Centro,Online,2.0,61.02,122.04
2025-04-01,Mouse,Norte,Online,5.0,25.18,125.9
2025-07-30,Auriculares,Norte,Tienda,5.0,92.96,464.8
2025-08-13,Monitor,Oeste,Online,4.0,212.04,848.16
2025-03-19,Mouse,Oeste,Tienda,1.0,23.73,23.73
2024-11-25,Auriculares,Oeste,Online,5.0,85.29,325.45
2025-09-17,Auriculares,Oeste,Tienda,3.0,91.55,274.65
2024-06-18,Mouse,Norte,Tienda,4.0,25.35,101.4
2025-12-24,Mouse,Norte,Online,1.0,23.47,23.47
2024-11-28,Mouse,Sur,Tienda,2.0,24.86,49.72
2024-11-13,Teclado,Este,Online,3.0,45.86,137.58
2024-09-10,Monitor,Este,Tienda,3.0,209.55,628.65
2025-11-18,Teclado,Norte,Online,4.0,46.42,185.68
2024-11-16,Webcam,Sur,Online,1.0,64.41,64.41
2025-01-18,Webcam,Este,Distribuidor,2.0,50.31,100.62
2025-12-30,Teclado,Este,Online,1.0,45.41,45.41
2024-03-08,Webcam,Este,Distribuidor,5.0,54.87,274.35
2025-05-23,Auriculares,Centro,Tienda,3.0,88.05,264.15
2024-07-02,Teclado,Sur,Tienda,5.0,46.44,232.2
2024-04-18,Mouse,Norte,Online,5.0,24.81,124.05
2025-06-20,Monitor,Oeste,Tienda,5.0,204.97,1024.85
2025-06-29,Mouse,Este,Tienda,3.0,25.56,76.68
2024-09-30,Mouse,Este,Online,1.0,26.18,26.18
2025-11-25,Auriculares,Norte,Online,1.0,88.71,88.71
2025-12-14,Auriculares,Norte,Online,3.0,85.84,257.52
2025-06-30,Webcam,Norte,Distribuidor,3.0,53.62,160.86
2025-12-10,Monitor,Oeste,Distribuidor,2.0,181.94,363.88
2025-09-09,Mouse,Norte,Online,3.0,24.73,74.19
2024-09-19,Auriculares,,Distribuidor,3.0,74.37,223.11
2024-07-29,Webcam,Oeste,Online,3.0,63.07,189.21
2024-11-25,Auriculares,Sur,Online,2.0,90.29,180.58
2025-03-02,Monitor,Norte,Online,5.0,233.53,1167.65
2025-10-06,Mouse,Norte,Online,2.0,24.01,48.02
2025-12-09,Mouse,Este,Online,5.0,24.52,122.6
2024-04-23,Auriculares,Centro,Tienda,1.0,90.66,90.66
2024-06-11,Auriculares,Oeste,Online,4.0,92.26,369.04
2025-11-08,Teclado,Centro,Tienda,3.0,44.82,134.46
2025-11-22,Webcam,Norte,Online,4.0,62.78,251.12
2024-11-09,Mouse,Norte,Online,5.0,25.33,126.65
2024-10-13,Auriculares,Oeste,Online,4.0,90.52,362.08
2025-12-06,Auriculares,Este,Distribuidor,2.0,77.85,155.7
2024-12-11,Teclado,Norte,Tienda,2.0,45.69,91.38
2025-05-09,Auriculares,Norte,Online,3.0,89.93,269.79
2025-04-21,Auriculares,,Tienda,1.0,86.77,86.77
2025-12-02,Webcam,Centro,Online,4.0,65.24,260.96
2024-06-07,Mouse,Sur,Online,4.0,24.7,98.8
2025-12-30,Webcam,Centro,Distribuidor,5.0,55.52,277.6
2025-08-17,Teclado,Sur,Online,3.0,47.28,141.84
2024-07-28,Monitor,Centro,Distribuidor,2.0,178.39,356.78
2024-12-21,Auriculares,Norte,Online,5.0,92.04,460.2
2024-12-13,Mouse,Oeste,Online,4.0,25.2,100.8
2024-03-17,Teclado,Sur,Tienda,3.0,46.67,140.01
2025-09-08,Auriculares,Oeste,Tienda,2.0,86.11,172.22
2025-11-19,Webcam,Norte,Online,3.0,65.88,197.64
2024-11-21,Auriculares,Centro,Online,3.0,89.89,269.67
2024-03-06,Mouse,Centro,Online,1.0,,839.56
2025-12-26,Webcam,Oeste,Tienda,1.0,64.85,64.85
2025-11-24,Auriculares,Norte,Tienda,1.0,90.15,90.15
2025-08-04,Mouse,Sur,Online,1.0,25.46,25.46
2024-02-04,Mouse,Este,Tienda,4.0,25.62,102.48
2024-11-05,Auriculares,Sur,Tienda,2.0,91.72,183.44
2024-06-24,Mouse,Este,Online,5.0,24.41,122.05
2024-06-03,Mouse,Oeste,Online,1.0,26.07,26.07
2025-11-09,Mouse,Norte,Online,4.0,24.45,97.8
2024-12-21,Monitor,Este,Online,3.0,221.57,664.71
2024-09-03,Auriculares,Norte,Online,5.0,92.87,464.35
2025-06-28,Teclado,Centro,Online,2.0,45.63,91.26
2024-10-25,Teclado,Este,Tienda,2.0,46.32,92.64
2024-12-22,Mouse,Norte,Online,3.0,25.07,75.21
2024-12-07,Teclado,Centro,Online,5.0,46.68,233.4
2025-09-26,Monitor,Norte,Distribuidor,5.0,169.49,847.45
2024-12-26,Auriculares,Este,Online,1.0,90.16,90.16
2024-11-03,Auriculares,Este,Tienda,2.0,89.68,179.36
2024-05-11,Mouse,Sur,Online,2.0,25.3,50.6
2025-11-25,Auriculares,Oeste,Tienda,2.0,91.21,182.42
2025-11-23,Auriculares,Oeste,Distribuidor,2.0,72.82,145.64
2025-02-17,Mouse,Oeste,Online,3.0,25.46,76.38
2024-12-13,Auriculares,Centro,Online,5.0,85.75,428.75
2024-05-24,Mouse,Centro,Distribuidor,5.0,21.28,106.4
2025-10-25,Mouse,Oeste,Tienda,3.0,25.31,75.93
2025-03-29,Auriculares,Norte,Tienda,2.0,92.1,184.2
2024-06-11,Auriculares,Norte,Online,5.0,88.62,443.1
2024-01-19,Mouse,Este,Online,2.0,24.87,49.74
2024-12-01,Monitor,Norte,Online,4.0,225.87,314.95
2025-03-11,Teclado,Norte,Online,3.0,44.16,132.48
2024-04-01,Mouse,Sur,Tienda,1.0,23.95,23.95
2024-04-18,Teclado,Norte,Tienda,1.0,46.24,46.24
2025-03-21,Teclado,Norte,Tienda,1.0,45.17,45.17
2024-12-03,Teclado,Norte,Distribuidor,1.0,37.42,37.42
2024-02-23,Teclado,Este,Online,1.0,47.66,47.66
2025-12-19,Mouse,Oeste,Online,5.0,25.58,127.9
2024-11-01,Teclado,Norte,Tienda,2.0,43.12,86.24
2024-05-23,Monitor,Oeste,Tienda,3.0,216.9,650.7
2025-03-23,Webcam,Centro,Online,3.0,64.47,193.41
2024-09-22,Monitor,Sur,Tienda,3.0,216.54,649.62
2024-11-20,Auriculares,Norte,Tienda,1.0,86.49,86.49
2025-09-05,Monitor,Centro,Online,3.0,208.54,625.62
2024-04-11,Mouse,Oeste,Online,1.0,24.79,24.79
2024-12-19,Teclado,Sur,Distribuidor,1.0,35.04,35.04
2024-10-31,Webcam,Oeste,Tienda,2.0,63.59,127.18
2025-12-16,Teclado,Sur,Distribuidor,2.0,39.71,79.42
2025-07-13,Auriculares,Norte,Distribuidor,2.0,77.81,155.62
2024-11-17,Teclado,Centro,Distribuidor,4.0,37.94,151.76
2024-09-12,Monitor,Norte,Online,4.0,228.32,913.28
2024-12-24,Webcam,Oeste,Online,5.0,63.57,317.85
2024-05-10,Mouse,Norte,Distribuidor,4.0,21.27,85.08
2025-11-15,Mouse,Centro,Online,4.0,25.52,102.08
2024-06-04,Mouse,Norte,Online,4.0,26.16,104.64
2024-05-25,Mouse,Este,Online,3.0,25.91,77.73
2024-04-11,Monitor,Norte,Online,3.0,217.07,651.21
2025-12-25,Teclado,Sur,Online,4.0,45.48,181.92
,Teclado,Oeste,Online,5.0,45.88,229.4
2024-09-18,Mouse,Norte,Tienda,5.0,24.59,122.95
2025-04-18,Mouse,Centro,Online,1.0,24.28,24.28
2025-03-29,Mouse,Sur,Distribuidor,1.0,19.41,19.41
2024-09-18,Mouse,Norte,Distribuidor,3.0,21.35,64.05
2025-02-03,Auriculares,Norte,Distribuidor,1.0,73.37,73.37
2025-02-11,Mouse,Norte,Tienda,5.0,24.86,124.3
2025-03-14,Mouse,Oeste,Online,1.0,24.85,24.85
2025-11-08,Auriculares,Sur,Distribuidor,4.0,73.82,295.28
