Fecha,Producto ,region,Canal,unidades_vendidas,Precio Unitario,ingreso
2025-10-03,Teclado,Norte,TIENDA,3,43.95,"€131,85"
05/12/2024,Monitor,Centro,Distribuidor,3,,"547,35"
2025-02-07,Mouse,Este,Tienda,5,24.48,"122,40"
09/07/2024,Monitor,Centro,Tienda,2,219.98,"439,96 €"
2024-03-27,Mouse,Este,Online,4,25.64,"102,56 €"
2025-07-16,Auriculares,Centro,Tienda,1,91.96,"91,96 €"
,Teclado,Oeste,Online,3,46.3,"138,90"
2025-10-14,Mouse,Norte,TIENDA,4,25.74,"102,96 €"
2024-10-25,Teclado,OESTE,Online,3,46.78,"€140,34"
2024-07-28,Mouse,Norte,distribuidor,4,21.22,"84,88 €"
2025-03-09,Webcam,Oeste,Online,3,68.19,"204,57 €"
2025-01-30,Teclado,Norte,Online,9647,,"218,30 €"
2024-04-09,Monitor,Norte,Tienda,2,221.61,"443,22"
2024-04-16,Teclado,Sur,on-line,3,45.39,"136,17"
2024-07-17,Webcam,Norte,Tienda,2,58.82,"117,64"
2025-12-21,Teclado,Oeste,Tienda,3,45.88,"137,64"
2024-04-12,Mouse,Centro,ONLINE,4,26.03,"104,12 €"
2024-10-30,Mouse,Norte,Online,4,24.87,"99,48 €"
2025-01-09,Webcam,Centro,Tienda,2,61.89,"123,78"
2024-06-22,Auriculares,Norte,Tienda,2,89.68,"179,36"
2025-10-08,Monitor,Este,Online,3,195.45,"586,35"
2025-12-15,Teclado,Este,TIENDA,5,43.72,"218,60"
01/10/2024,MONITOR,  Sur ,Tienda,3,204.78,"614,34"
,Mouse,centro,Distribuidor,1,21.02,"21,02"
2025-09-19,Monitor,Norte,Distrib.,5,184.44,"922,20"
2024-08-07,Webcam,Norte,Tienda,1,66.56,"66,56 €"
2024-05-31,Monitor,Oeste,Online,1,217.8,"217,80 €"
2025-06-15,Mouse,Sur,Distribuidor,4,21.35,"85,40 €"
2025-04-23,Mouse,Centro,Tienda,1,26.25,"26,25 €"
2024-07-04,Auriculares,CENTRO,Tienda física,N/A,89.82,"179,64"
2024-09-01,Teclado,ESTE,Online,5,45.55,"227,75"
2025-04-04,Webcam,Norte,Online,5,68.02,"340,10"
2025-11-04,Auriculares,Centro,Distribuidor,4,76.3,"305,20 €"
24/09/2025,Webcam,Oeste,Online,5,62.45,"312,25"
2025-04-15,Auriculares,Sur,Online,4,88.7,"354,80"
2025-11-20,Monitor,Norte,Online ,3,223.23,"669,69"
2025-04-06,Mouse,Centro,Online,4,24.79,"99,16 €"
2024-07-06,Webcam,Centro,Online,2,61.02,"€122,04"
2025-04-01,Mouse,Norte,Online,5,25.18,"125,90 €"
2025-07-30,Auriculares,Norte,Tienda,5,NULL,"464,80 €"
08-13-2025,Monitor,Oeste,Online,,212.04,"848,16 €"
2025-03-19,Mouse,Oeste,Tienda,1,23.73,"€23,73"
2024-11-25,Auriculares,Oeste,Online,5,85.29,"325,45"
2025-09-17,Auriculares,Oeste,Tienda,7416,91.55,"274,65"
2024-06-18,Mouse,Norte,Tienda,4,25.35,"101,40 €"
2025-12-24,MOUSE,Norte,Online,1,23.47,"23,47"
2024-11-28,Mouse,Sur,Tienda,2,24.86,"49,72"
2024-11-13,Teclado,Este,Online,3,45.86,"137,58 €"
2024-09-10,Monitor,Este,Tienda,3,209.55,"628,65"
2025-11-18,Teclado,Norte,Online,4,46.42,"185,68 €"
2024-11-16,Webcam,Sur,Online,1,64.41,"64,41"
2025-01-18,Webcam,Este,Distribuidor,2,50.31,"100,62 €"
2025-12-30,Teclado,Este,Online,1,NULL,"45,41"
2024-03-08,WEBCAM,Este,Distribuidor,5,54.87,"274,35"
2025-05-23,Auriculares,Centro,Tienda,3,88.05,"264,15"
